CWA,City,State
ABQ,Albuquerque,New Mexico
ABR,Aberdeen,South Dakota
AFC,Anchorage,Alaska
AFG,Fairbanks,Alaska
AJK,Juneau,Alaska
AKQ,Wakefield,Virginia
ALY,Albany,New York
AMA,Amarillo,Texas
APX,Gaylord,Michigan
ARX,La Crosse,Wisconsin
BGM,Binghamton,New York
BIS,Bismarck,North Dakota
BMX,Birmingham,Alabama
BOI,Boise,Idaho
BOU,Denver,Colorado
BOX,Taunton,Massachusetts
BRO,Brownsville,Texas
BTV,Burlington,Vermont
BUF,Buffalo,New York
BYZ,Billings,Montana
CAE,Columbia,South Carolina
CAR,Caribou,Maine
CHS,Charleston,South Carolina
CLE,Cleveland,Ohio
CRP,Corpus Christi,Texas
CTP,State College,Pennsylvania
CYS,Cheyenne,Wyoming
DDC,Dodge City,Kansas
DLH,Duluth,Minnesota
DMX,Des Moines,Iowa
DTX,Detroit/Pontiac,Michigan
DVN,Quad Cities,Illinois
EAX,Kansas City/Pleasant Hill,Missouri
EKA,Eureka,California
EPZ,El Paso TX/Santa Teresa NM,New Mexico
EWX,Austin/San Antonio,Texas
FFC,Peachtree City,Georgia
FGF,Grand Forks,North Dakota
FGZ,Flagstaff,Arizona
FSD,Sioux Falls,South Dakota
FWD,Fort Worth,Texas
GGW,Glasgow,Montana
GID,Hastings,Nebraska
GJT,Grand Junction,Colorado
GLD,Goodland,Kansas
GRB,Green Bay,Wisconsin
GRR,Grand Rapids,Michigan
GSP,Greenville-Spartanburg,South Carolina
GUM,Tiyan,Guam
GYX,Gray,Maine
HFO,Honolulu,Hawaii
HGX,Houston/Galveston,Texas
HNX,Hanford,California
HUN,Huntsville,Alabama
ICT,Wichita,Kansas
ILM,Wilmington,North Carolina
ILN,Wilmington,Ohio
ILX,Lincoln,Illinois
IND,Indianapolis,Indiana
IWX,Northern Indiana,Indiana
JAN,Jackson,Mississippi
JAX,Jacksonville,Florida
JKL,Jackson,Kentucky
KEY,Key West,Florida
LBF,North Platte,Nebraska
LCH,Lake Charles,Louisiana
LIX,New Orleans,Louisiana
LKN,Elko,Nevada
LMK,Louisville,Kentucky
LOT,Chicago,Illinois
LOX,Los Angeles/Oxnard,California
LSX,St Louis,Missouri
LUB,Lubbock,Texas
LWX,Baltimore MD/Washington,District of Columbia
LZK,Little Rock,Arkansas
MAF,Midland/Odessa,Texas
MEG,Memphis,Tennessee
MFL,Miami,Florida
MFR,Medford,Oregon
MHX,Newport/Morehead City,North Carolina
MKX,Milwaukee/Sullivan,Wisconsin
MLB,Melbourne,Florida
MOB,Mobile,Alabama
MPX,Twin Cities/Chanhassen,Minnesota
MQT,Marquette,Michigan
MRX,Morristown,Tennessee
MSO,Missoula,Montana
MTR,San Francisco,California
OAX,Omaha/Valley,Nebraska
OHX,Nashville,Tennessee
OKX,Upton,New York
OTX,Spokane,Washington
OUN,Norman,Oklahoma
PAH,Paducah,Kentucky
PBZ,Pittsburgh,Pennsylvania
PDT,Pendleton,Oregon
PHI,Mount Holly,New Jersey
PIH,Pocatello,Idaho
PPG,Pago Pago,American Samoa
PQR,Portland,Oregon
PSR,Phoenix,Arizona
PUB,Pueblo,Colorado
RAH,Raleigh,North Carolina
REV,Reno,Nevada
RIW,Riverton,Wyoming
RLX,Charleston,West Virginia
RNK,Blacksburg,Virginia
SEW,Seattle,Washington
SGF,Springfield,Missouri
SGX,San Diego,California
SHV,Shreveport,Louisiana
SJT,San Angelo,Texas
SJU,San Juan,Puerto Rico
SLC,Salt Lake City,Utah
STO,Sacramento,California
TAE,Tallahassee,Florida
TBW,Tampa Bay Ruskin,Florida
TFX,Great Falls,Montana
TOP,Topeka,Kansas
TSA,Tulsa,Oklahoma
TWC,Tucson,Arizona
UNR,Rapid City,South Dakota
VEF,Las Vegas,Nevada
